natural_language,terminal_command
List all files in the current directory,ls
Show me all the files in this directory,ls
Can you display the files in the current folder?,ls
Please list everything in this directory,ls
Show all files in the current directory,ls
Show the contents of the current directory,ls
"List all files, including hidden files",ls -a
List files in the directory including hidden files,ls -a
"Show all files, including hidden ones",ls -a
"Display files and directories, including hidden ones",ls -a
"List everything, including hidden files",ls -a
List files with detailed information,ls -l
Show the file details in this directory,ls -l
List the contents of the directory with more info,ls -l
Show files with detailed listing,ls -l
Show all files in the current directory,ls
Show long format listing of files,ls -l
Display the manual page for 'ls',man ls
enter the Documents directory,cd Documents
change to the Documents section,cd Documents
enter newDir,cd newDir
switch into newDir,cd newDir
go inside newDir folder,cd newDir
jump to Documents,cd Documents
go to my documents at /home/user/docs,cd /home/user/docs
switch to directory /home/user/docs ,cd /home/user/docs
move into /home/user/docs,cd /home/user/docs
navigate directly to /home/user/docs,cd /home/user/docs
go into system logs folder,cd /var/logs
move to the log directory,cd /var/logs
enter the logs directory,cd /var/logs
access the system logs,cd /var/logs
Change to the Documents directory,cd Documents
Go to the Documents folder,cd Documents
Navigate to Documents directory,cd Documents
Move to the Documents folder,cd ~/Documents
Switch to the Documents directory,cd ~/Documents
move up one directory,cd ..
step up one level,cd ..
go back one step,cd ..
navigate one folder up,cd ..
Change to the parent directory,cd ..
Go up one level in the directory structure,cd ..
Navigate to the parent directory,cd ..
Move to the parent folder,cd ..
Change to the folder above the current one,cd ..
go to directory newDir,cd newDir
navigate to directory hello,cd hello
change working directory to seema,cd seema
change working directory to Gfg,cd Gfg
go to Gfg directory,cd Gfg
go to this path,cd path
switch to seema directory,cd seema
go to this path /home/user/docs,cd /home/user/docs
navigate to /var/logs,cd /var/logs
jump to the root directory,cd /
move to the top-level directory,cd /
navigate to the system root,cd /
switch to the base system directory,cd /
return to my home folder,cd ~
go back to my home location,cd ~
move into the user home directory,cd ~
navigate to the home path,cd ~
Leave the terminal,exit
End the terminal session,exit
Exit from the shell,exit
Close the command line,exit
Log out and close the terminal,exit
Quit the shell,exit
Terminate the console,exit
end the current shell session,exit
Shut down the terminal,exit
Close the terminal window,exit
Quit the terminal,exit
Log out of the terminal,exit
Terminate the session,exit
Close the terminal session,exit
Quit the terminal,exit
Terminate the process with PID 12345,kill 12345
Kill the process with PID 12345,kill 12345
Stop the process with PID 12345,kill 12345
End the process with PID 12345,kill 12345
Terminate the process '12345',kill 12345
kill the process whose pid is 2342,kill 2342
terminate process 3423,kill 3423
Create a new directory called 'my_project',mkdir my_project
Make a directory named 'my_project',mkdir my_project
Create a folder called 'my_project',mkdir my_project
Make a folder with the name 'my_project',mkdir my_project
Create a folder 'my_project',mkdir my_project
Remove a file named 'file2.txt',rm file2.txt
Delete the file 'file2.txt',rm file2.txt
Erase 'file2.txt' from the system,rm file2.txt
Remove 'file2.txt' from the directory,rm file2.txt
Delete 'file2.txt' file,rm file2.txt
Remove a directory named 'old_folder',rmdir old_folder
Delete the empty folder 'old_folder',rmdir old_folder
Erase the folder 'old_folder',rmdir old_folder
Remove the folder named 'old_folder',rmdir old_folder
Delete the directory 'old_folder',rmdir old_folder
Remove the file 'file1.txt',rm file1.txt
Delete the file 'file1.txt' from the system,rm file1.txt
Remove 'file1.txt' from the directory,rm file1.txt
Erase 'file1.txt',rm file1.txt
Delete 'file1.txt' file,rm file1.txt
Remove the folder 'backup',rmdir backup
Delete the directory 'backup',rmdir backup
Remove the folder named 'backup',rmdir backup
Erase the directory 'backup',rmdir backup
Remove the 'backup' folder,rmdir backup
Show all built-in commands,help
Give me a list of all available commands,help
Show help for commands,help
Display a list of shell commands,help
Tell me about available commands,help
Get help for using the shell,help
Display supported commands help,help
Show command reference help,help
Show command guide help,help
Display help topics help,help
Explain available commands help,help
Find commands and their usage help,help
List internal shell commands help,help
View shell command descriptions help,help
Get a summary of shell commands help,help
Show the manual for a command,man <command>
Display the manual page for 'ls',man ls
Give me the man page for 'mkdir',man mkdir
Display the manual for 'mkdir',man mkdir
Create a new folder named 'project',mkdir project
Make a directory called 'new_folder',mkdir new_folder
Create the directory 'test_dir',mkdir test_dir
Make a new directory called 'test_dir',mkdir test_dir
Create a folder named 'work',mkdir work
help,help
show working path,pwd
Print hi,echo hi
Print hello,echo hello
"Repeat after me: Hello, world!","echo Hello, world!"
Say hi to everyone,echo Hi everyone!
Print my name is John,echo My name is John
Show my username,echo $USER
print “hi”,echo “hi”
print “hello all”,echo “hello all”
print this is project ,echo this is project
print how are you ,echo how are you?
print this is new file,echo this is file 
say this is file,echo this is file
"print ""folder1""","echo ""folder1"""
print this is file in a project,echo this is file in a project
Adjust the timestamp of 'filename' by subtracting 2 hours from it.,"touch -d ""$(date -r filename) - 2 hours"" filename"
Adjust the timestamp of file $filename by subtracting 2 hours from it,"touch -d ""$(date -r ""$filename"") - 2 hours"" ""$filename"""
"Change the timestamp of symbolic link ""somesymlink"" to current date/time",touch -h somesymlink
"Create an empty file 'last.check' in directory pointed by variable ""log_dir"", with specified timestamp.",touch -m 201111301200.00 $log_dir/last.check
"Create an empty file (or update timestamp of file) specified by variable ""correctFilePathAndName""","touch ""$correctFilePathAndName"""
